Samples,FaithPD,Observed,Chao1,se.chao1,date,cage,herbivory,coral,treatment,is.neg,Shannon,Simpson,InvSimpson
A3_1x1_A4,4.97837,13,13.6,1.180944288,22-Jul,A3,1x1,A4,Enriched,FALSE,0.059071073,0.015922,1.016179612
A3_1x1_A5,2.90742,8,8,0.233853587,22-Jul,A3,1x1,A5,Enriched,FALSE,0.093721909,0.027752,1.028544157
A3_1x1_A6,4.23722,14,14,0.240906028,22-Jul,A3,1x1,A6,Enriched,FALSE,0.084000995,0.02382,1.024401237
A3_2x2_A1,23.67777,89,92.66666667,3.144706627,22-Jul,A3,2x2,A1,Enriched,FALSE,1.088681762,0.31812,1.466533701
A3_2x2_A2,18.68022,54,55.66666667,2.043752916,22-Jul,A3,2x2,A2,Enriched,FALSE,0.78720125,0.253394,1.33939454
A3_2x2_A3,3.58038,12,18,7.172478264,22-Jul,A3,2x2,A3,Enriched,FALSE,0.09301189,0.0258,1.026483268
A3_2x2_A4,52.39432,183,194,6.288239961,22-Jul,A3,2x2,A4,Enriched,FALSE,3.89878008,0.957698,23.63954423
A3_2x2_A6,6.49518,24,63,30.31249284,22-Jul,A3,2x2,A6,Enriched,FALSE,0.360947258,0.133414,1.15395356
A3_2x2_A7,6.21132,17,17,0.242535625,22-Jul,A3,2x2,A7,Enriched,FALSE,0.314788053,0.100824,1.112129327
A3_2x2_A8,12.38685,44,53.1,6.482212937,22-Jul,A3,2x2,A8,Enriched,FALSE,0.20133164,0.055136,1.058353371
A3_3x3_A1,11.05945,37,37,0,22-Jul,A3,3x3,A1,Enriched,FALSE,2.488727331,0.854168,6.857205552
A3_3x3_A2,7.59534,28,29.25,1.730727497,22-Jul,A3,3x3,A2,Enriched,FALSE,0.224804731,0.062888,1.067108307
A3_3x3_A4,10.37329,33,57,16.40735821,22-Jul,A3,3x3,A4,Enriched,FALSE,0.219426494,0.07028,1.075592652
A3_3x3_A6,49.17054,155,166.1764706,6.663155243,22-Jul,A3,3x3,A6,Enriched,FALSE,2.608565813,0.742314,3.880692005
A3_3x3_A7,6.52433,18,18.5,1.024475256,22-Jul,A3,3x3,A7,Enriched,FALSE,0.208644906,0.070322,1.075641244
A3_Open_A1,5.15353,18,23,5.514802216,22-Jul,A3,Open,A1,Enriched,FALSE,0.107683484,0.029736,1.030647329
A3_Open_A11,5.27131,13,13.5,1.28290036,22-Jul,A3,Open,A11,Enriched,FALSE,0.196555596,0.062682,1.066873782
A3_Open_A14,6.25992,20,22.5,3.1512784,22-Jul,A3,Open,A14,Enriched,FALSE,0.172172775,0.0493,1.051856527
A3_Open_A3,3.57075,9,10,2.258317958,22-Jul,A3,Open,A3,Enriched,FALSE,0.05491219,0.015912,1.016169286
A3_Open_A4,5.17604,17,17.6,1.182191724,22-Jul,A3,Open,A4,Enriched,FALSE,0.158561197,0.047318,1.0496682
A3_Open_A5,16.05681,45,49.2,4.336380605,22-Jul,A3,Open,A5,Enriched,FALSE,0.522193863,0.149612,1.175933809
A3_Open_A6,5.90075,18,18,0.242956329,22-Jul,A3,Open,A6,Enriched,FALSE,1.014081777,0.447494,1.809935096
A3_Open_A7,3.79602,10,10,0.474341649,22-Jul,A3,Open,A7,Enriched,FALSE,0.095602448,0.027746,1.02853781
A3_Open_A8,34.21946,118,121,2.863546175,22-Jul,A3,Open,A8,Enriched,FALSE,2.172093046,0.598406,2.490077043
A4_1x1_A10,7.07223,20,22.5,3.1512784,22-Jul,A4,1x1,A10,Ambient,FALSE,0.70012006,0.365484,1.576004388
A4_1x1_A2,20.43948,70,71.66666667,2.204141561,22-Jul,A4,1x1,A2,Ambient,FALSE,2.645786366,0.871294,7.769645549
A4_1x1_A3,12.33999,42,42.5,1.02612922,22-Jul,A4,1x1,A3,Ambient,FALSE,0.707947278,0.276534,1.382234963
A4_1x1_A4,2.92729,9,9,0,22-Jul,A4,1x1,A4,Ambient,FALSE,0.259302509,0.091196,1.10034727
