"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"A3_3x3_A2",0.138782267099471,"Jul22","A3","3x3","A2","Enriched",FALSE,"A3_3x3_A2"
"A4_Open_A2",0.671332156770548,"Jul22","A4","Open","A2","Ambient",FALSE,"A4_Open_A2"
"A4_3x3_A10",0.0933132979924546,"Jul22","A4","3x3","A10","Ambient",FALSE,"A4_3x3_A10"
"A3_3x3_A1",0.627595898866682,"Jul22","A3","3x3","A1","Enriched",FALSE,"A3_3x3_A1"
"A4_1x1_A4",0.162708296727911,"Jul22","A4","1x1","A4","Ambient",FALSE,"A4_1x1_A4"
"A4_1x1_A9",0.167920575796467,"Jul22","A4","1x1","A9","Ambient",FALSE,"A4_1x1_A9"
"A3_Open_A6",0.366107439287836,"Jul22","A3","Open","A6","Enriched",FALSE,"A3_Open_A6"
"A4_3x3_A8",0.100781172891182,"Jul22","A4","3x3","A8","Ambient",FALSE,"A4_3x3_A8"
"A4_2x2_A4",0.203976160373041,"Jul22","A4","2x2","A4","Ambient",FALSE,"A4_2x2_A4"
"A4_2x2_A1",0.173430258677609,"Jul22","A4","2x2","A1","Ambient",FALSE,"A4_2x2_A1"
"A4_2x2_A8",0.208766732517628,"Jul22","A4","2x2","A8","Ambient",FALSE,"A4_2x2_A8"
"A3_2x2_A6",0.235917763853293,"Jul22","A3","2x2","A6","Enriched",FALSE,"A3_2x2_A6"
"A4_3x3_A4",0.142220371155629,"Jul22","A4","3x3","A4","Ambient",FALSE,"A4_3x3_A4"
"A4_1x1_A5",0.514792813075763,"Jul22","A4","1x1","A5","Ambient",FALSE,"A4_1x1_A5"
"A3_Open_A14",0.214633648792675,"Jul22","A3","Open","A14","Enriched",FALSE,"A3_Open_A14"
"A4_2x2_A6",0.689452293621736,"Jul22","A4","2x2","A6","Ambient",FALSE,"A4_2x2_A6"
"A3_2x2_A4",0.709223618290337,"Jul22","A3","2x2","A4","Enriched",FALSE,"A3_2x2_A4"
"A4_3x3_A7",0.786887013769704,"Jul22","A4","3x3","A7","Ambient",FALSE,"A4_3x3_A7"
"A3_2x2_A7",0.178306882360712,"Jul22","A3","2x2","A7","Enriched",FALSE,"A3_2x2_A7"
"A3_3x3_A7",0.112700071349551,"Jul22","A3","3x3","A7","Enriched",FALSE,"A3_3x3_A7"
"A3_Open_A4",0.203933324430766,"Jul22","A3","Open","A4","Enriched",FALSE,"A3_Open_A4"
"A3_Open_A7",0.22685251038541,"Jul22","A3","Open","A7","Enriched",FALSE,"A3_Open_A7"
"A4_1x1_A2",0.738011570637099,"Jul22","A4","1x1","A2","Ambient",FALSE,"A4_1x1_A2"
"D1_2x2_A1",0.261120291199152,"Jul22","D1","2x2","A1","Ambient",FALSE,"D1_2x2_A1"
"C2_1x1_A1",0.21154569592511,"Jul22","C2","1x1","A1","Ambient",FALSE,"C2_1x1_A1"
"B1_1x1_A7",0.197087955022439,"Jul22","B1","1x1","A7","Enriched",FALSE,"B1_1x1_A7"
"C2_Open_A3",0.21496616159874,"Jul22","C2","Open","A3","Ambient",FALSE,"C2_Open_A3"
"B1_1x1_A6",0.169247605330228,"Jul22","B1","1x1","A6","Enriched",FALSE,"B1_1x1_A6"
"B1_3x3_A7",0.12877373431038,"Jul22","B1","3x3","A7","Enriched",FALSE,"B1_3x3_A7"
"A3_Open_A11",0.215526539130082,"Jul22","A3","Open","A11","Enriched",FALSE,"A3_Open_A11"
"A4_3x3_A3",0.143679173428483,"Jul22","A4","3x3","A3","Ambient",FALSE,"A4_3x3_A3"
"A4_1x1_A3",0.167911868880213,"Jul22","A4","1x1","A3","Ambient",FALSE,"A4_1x1_A3"
"B1_3x3_A11",0.157884161933557,"Jul22","B1","3x3","A11","Enriched",FALSE,"B1_3x3_A11"
"B1_2x2_A6",0.19551332407167,"Jul22","B1","2x2","A6","Enriched",FALSE,"B1_2x2_A6"
"D1_3x3_A1",0.13342756844533,"Jul22","D1","3x3","A1","Ambient",FALSE,"D1_3x3_A1"
"B1_3x3_A18",0.143711729861658,"Jul22","B1","3x3","A18","Enriched",FALSE,"B1_3x3_A18"
"B1_1x1_A8",0.156842661630081,"Jul22","B1","1x1","A8","Enriched",FALSE,"B1_1x1_A8"
"D1_Open_A5",0.21800135011359,"Jul22","D1","Open","A5","Ambient",FALSE,"D1_Open_A5"
"B1_3x3_A5",0.123372664715421,"Jul22","B1","3x3","A5","Enriched",FALSE,"B1_3x3_A5"
"B1_2x2_A4",0.705834255497366,"Jul22","B1","2x2","A4","Enriched",FALSE,"B1_2x2_A4"
"B1_3x3_A8",0.130249557931338,"Jul22","B1","3x3","A8","Enriched",FALSE,"B1_3x3_A8"
"B1_2x2_A7",0.240258363445581,"Jul22","B1","2x2","A7","Enriched",FALSE,"B1_2x2_A7"
"C2_1x1_P5",0.746631276140327,"Jul22","C2","1x1","P5","Ambient",FALSE,"C2_1x1_P5"
"D1_Open_A1",0.231279150651101,"Jul22","D1","Open","A1","Ambient",FALSE,"D1_Open_A1"
"B1_2x2_A5",0.220554773753837,"Jul22","B1","2x2","A5","Enriched",FALSE,"B1_2x2_A5"
"D1_Open_A3",0.575264421253288,"Jul22","D1","Open","A3","Ambient",FALSE,"D1_Open_A3"
"B1_3x3_A6",0.108683560939277,"Jul22","B1","3x3","A6","Enriched",FALSE,"B1_3x3_A6"
"D1_Open_A6",0.188511286922759,"Jul22","D1","Open","A6","Ambient",FALSE,"D1_Open_A6"
"D1_3x3_A7",0.164584136055833,"Jul22","D1","3x3","A7","Ambient",FALSE,"D1_3x3_A7"
"D1_3x3_A4",0.757767318296847,"Jul22","D1","3x3","A4","Ambient",FALSE,"D1_3x3_A4"
"C2_Open_A4",0.160637920135564,"Jul22","C2","Open","A4","Ambient",FALSE,"C2_Open_A4"
