"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"A3_3x3_A2",0.0331641421408099,"Jul22","A3","3x3","A2","Enriched",FALSE,"A3_3x3_A2"
"A4_Open_A2",0.808051600127759,"Jul22","A4","Open","A2","Ambient",FALSE,"A4_Open_A2"
"A4_3x3_A10",0.0808156238430313,"Jul22","A4","3x3","A10","Ambient",FALSE,"A4_3x3_A10"
"A3_3x3_A1",0.731465187099099,"Jul22","A3","3x3","A1","Enriched",FALSE,"A3_3x3_A1"
"A4_1x1_A4",0.0641009564577935,"Jul22","A4","1x1","A4","Ambient",FALSE,"A4_1x1_A4"
"A4_1x1_A9",0.0382855127269186,"Jul22","A4","1x1","A9","Ambient",FALSE,"A4_1x1_A9"
"A3_Open_A6",0.444418880894787,"Jul22","A3","Open","A6","Enriched",FALSE,"A3_Open_A6"
"A4_3x3_A8",0.11735838698295,"Jul22","A4","3x3","A8","Ambient",FALSE,"A4_3x3_A8"
"A4_2x2_A4",0.0594420808538549,"Jul22","A4","2x2","A4","Ambient",FALSE,"A4_2x2_A4"
"A4_2x2_A1",0.182627571153439,"Jul22","A4","2x2","A1","Ambient",FALSE,"A4_2x2_A1"
"A4_2x2_A8",0.0763496545568521,"Jul22","A4","2x2","A8","Ambient",FALSE,"A4_2x2_A8"
"A3_2x2_A6",0.10146358418465,"Jul22","A3","2x2","A6","Enriched",FALSE,"A3_2x2_A6"
"A4_3x3_A4",0.0305474339665494,"Jul22","A4","3x3","A4","Ambient",FALSE,"A4_3x3_A4"
"A4_1x1_A5",0.64331945999603,"Jul22","A4","1x1","A5","Ambient",FALSE,"A4_1x1_A5"
"A3_Open_A14",0.0571562164834488,"Jul22","A3","Open","A14","Enriched",FALSE,"A3_Open_A14"
"A4_2x2_A6",0.824683280931602,"Jul22","A4","2x2","A6","Ambient",FALSE,"A4_2x2_A6"
"A3_2x2_A4",0.845790475374602,"Jul22","A3","2x2","A4","Enriched",FALSE,"A3_2x2_A4"
"A4_3x3_A7",0.892195877250199,"Jul22","A4","3x3","A7","Ambient",FALSE,"A4_3x3_A7"
"A3_2x2_A7",0.0588061410250887,"Jul22","A3","2x2","A7","Enriched",FALSE,"A3_2x2_A7"
"A3_3x3_A7",0.0529066903689936,"Jul22","A3","3x3","A7","Enriched",FALSE,"A3_3x3_A7"
"A3_Open_A4",0.0512282576910088,"Jul22","A3","Open","A4","Enriched",FALSE,"A3_Open_A4"
"A3_Open_A7",0.068601359952051,"Jul22","A3","Open","A7","Enriched",FALSE,"A3_Open_A7"
"A4_1x1_A2",0.860270946239798,"Jul22","A4","1x1","A2","Ambient",FALSE,"A4_1x1_A2"
"D1_2x2_A1",0.120282236528888,"Jul22","D1","2x2","A1","Ambient",FALSE,"D1_2x2_A1"
"C2_1x1_A1",0.0643421818295013,"Jul22","C2","1x1","A1","Ambient",FALSE,"C2_1x1_A1"
"B1_1x1_A7",0.0505165225544628,"Jul22","B1","1x1","A7","Enriched",FALSE,"B1_1x1_A7"
"C2_Open_A3",0.0558124601884983,"Jul22","C2","Open","A3","Ambient",FALSE,"C2_Open_A3"
"B1_1x1_A6",0.189610052281901,"Jul22","B1","1x1","A6","Enriched",FALSE,"B1_1x1_A6"
"B1_3x3_A7",0.0460086674336398,"Jul22","B1","3x3","A7","Enriched",FALSE,"B1_3x3_A7"
"A3_Open_A11",0.0602076184967785,"Jul22","A3","Open","A11","Enriched",FALSE,"A3_Open_A11"
"A4_3x3_A3",0.0313743841487734,"Jul22","A4","3x3","A3","Ambient",FALSE,"A4_3x3_A3"
"A4_1x1_A3",0.208334446230345,"Jul22","A4","1x1","A3","Ambient",FALSE,"A4_1x1_A3"
"B1_3x3_A11",0.0453600949952262,"Jul22","B1","3x3","A11","Enriched",FALSE,"B1_3x3_A11"
"B1_2x2_A6",0.0712696599488725,"Jul22","B1","2x2","A6","Enriched",FALSE,"B1_2x2_A6"
"D1_3x3_A1",0.0232862877138818,"Jul22","D1","3x3","A1","Ambient",FALSE,"D1_3x3_A1"
"B1_3x3_A18",0.0293648248528851,"Jul22","B1","3x3","A18","Enriched",FALSE,"B1_3x3_A18"
"B1_1x1_A8",0.0464490451657514,"Jul22","B1","1x1","A8","Enriched",FALSE,"B1_1x1_A8"
"D1_Open_A5",0.0601353761082661,"Jul22","D1","Open","A5","Ambient",FALSE,"D1_Open_A5"
"B1_3x3_A5",0.0131754560983948,"Jul22","B1","3x3","A5","Enriched",FALSE,"B1_3x3_A5"
"B1_2x2_A4",0.841481126287285,"Jul22","B1","2x2","A4","Enriched",FALSE,"B1_2x2_A4"
"B1_3x3_A8",0.0390746686468308,"Jul22","B1","3x3","A8","Enriched",FALSE,"B1_3x3_A8"
"B1_2x2_A7",0.268495575947969,"Jul22","B1","2x2","A7","Enriched",FALSE,"B1_2x2_A7"
"C2_1x1_P5",0.863737865688568,"Jul22","C2","1x1","P5","Ambient",FALSE,"C2_1x1_P5"
"D1_Open_A1",0.0770063892353172,"Jul22","D1","Open","A1","Ambient",FALSE,"D1_Open_A1"
"B1_2x2_A5",0.0848383676417807,"Jul22","B1","2x2","A5","Enriched",FALSE,"B1_2x2_A5"
"D1_Open_A3",0.710692204693173,"Jul22","D1","Open","A3","Ambient",FALSE,"D1_Open_A3"
"B1_3x3_A6",0.131235202293853,"Jul22","B1","3x3","A6","Enriched",FALSE,"B1_3x3_A6"
"D1_Open_A6",0.264062797912698,"Jul22","D1","Open","A6","Ambient",FALSE,"D1_Open_A6"
"D1_3x3_A7",0.220280190626007,"Jul22","D1","3x3","A7","Ambient",FALSE,"D1_3x3_A7"
"D1_3x3_A4",0.865409982324438,"Jul22","D1","3x3","A4","Ambient",FALSE,"D1_3x3_A4"
"C2_Open_A4",0.182867558988794,"Jul22","C2","Open","A4","Ambient",FALSE,"C2_Open_A4"
"C2_1x1_A3",0.0594487143385577,"Jul22","C2","1x1","A3","Ambient",FALSE,"C2_1x1_A3"
"C2_2x2_A2_1",0.831881249381677,"Jul22","C2","2x2","A2","Ambient",FALSE,"C2_2x2_A2_1"
"D1_1x1_A4",0.0498776380612164,"Jul22","D1","1x1","A4","Ambient",FALSE,"D1_1x1_A4"
"C2_Open_A1",0.063833921966947,"Jul22","C2","Open","A1","Ambient",FALSE,"C2_Open_A1"
"B1_3x3_A3_questionmark",0.604280701527966,"Jul22","B1","3x3","A3","Enriched",FALSE,"B1_3x3_A3_questionmark"
"B1_1x1_A3",0.045307774598587,"Jul22","B1","1x1","A3","Enriched",FALSE,"B1_1x1_A3"
"C2_Open_A7",0.86669274901805,"Jul22","C2","Open","A7","Ambient",FALSE,"C2_Open_A7"
"C2_Open_A2",0.577934222048009,"Jul22","C2","Open","A2","Ambient",FALSE,"C2_Open_A2"
"D1_Open_A2",0.861894900739604,"Jul22","D1","Open","A2","Ambient",FALSE,"D1_Open_A2"
"B1_3x3_A9",0.0339348433513495,"Jul22","B1","3x3","A9","Enriched",FALSE,"B1_3x3_A9"
"D1_1x1_A2",0.486660242506961,"Jul22","D1","1x1","A2","Ambient",FALSE,"D1_1x1_A2"
"B1_3x3_A13",0.0507714988762905,"Jul22","B1","3x3","A13","Enriched",FALSE,"B1_3x3_A13"
"B1_1x1_A2",0.645965095651745,"Jul22","B1","1x1","A2","Enriched",FALSE,"B1_1x1_A2"
