"","dispersionnutrients","date","cage","herbivory","coral","treatment","is.neg","Samples"
"A3_3x3_A2",0.0179409505580561,"Jul22","A3","3x3","A2","Enriched",FALSE,"A3_3x3_A2"
"A4_Open_A2",0.912412997867276,"Jul22","A4","Open","A2","Ambient",FALSE,"A4_Open_A2"
"A4_3x3_A10",0.0354992936497699,"Jul22","A4","3x3","A10","Ambient",FALSE,"A4_3x3_A10"
"A3_3x3_A1",0.680875382007271,"Jul22","A3","3x3","A1","Enriched",FALSE,"A3_3x3_A1"
"A4_1x1_A4",0.0428256250975459,"Jul22","A4","1x1","A4","Ambient",FALSE,"A4_1x1_A4"
"A4_1x1_A9",0.0393158069396609,"Jul22","A4","1x1","A9","Ambient",FALSE,"A4_1x1_A9"
"A3_Open_A6",0.264451528674433,"Jul22","A3","Open","A6","Enriched",FALSE,"A3_Open_A6"
"A4_3x3_A8",0.0329472542452828,"Jul22","A4","3x3","A8","Ambient",FALSE,"A4_3x3_A8"
"A4_2x2_A4",0.0298704933079874,"Jul22","A4","2x2","A4","Ambient",FALSE,"A4_2x2_A4"
"A4_2x2_A1",0.123380782541408,"Jul22","A4","2x2","A1","Ambient",FALSE,"A4_2x2_A1"
"A4_2x2_A8",0.06186498615588,"Jul22","A4","2x2","A8","Ambient",FALSE,"A4_2x2_A8"
"A3_2x2_A6",0.0608421398580933,"Jul22","A3","2x2","A6","Enriched",FALSE,"A3_2x2_A6"
"A4_3x3_A4",0.0548698429868395,"Jul22","A4","3x3","A4","Ambient",FALSE,"A4_3x3_A4"
"A4_1x1_A5",0.558838161584697,"Jul22","A4","1x1","A5","Ambient",FALSE,"A4_1x1_A5"
"A3_Open_A14",0.00908970063177844,"Jul22","A3","Open","A14","Enriched",FALSE,"A3_Open_A14"
"A4_2x2_A6",0.932129840638916,"Jul22","A4","2x2","A6","Ambient",FALSE,"A4_2x2_A6"
"A3_2x2_A4",0.978049203202408,"Jul22","A3","2x2","A4","Enriched",FALSE,"A3_2x2_A4"
"A4_3x3_A7",0.953708523581291,"Jul22","A4","3x3","A7","Ambient",FALSE,"A4_3x3_A7"
"A3_2x2_A7",0.0432410455105926,"Jul22","A3","2x2","A7","Enriched",FALSE,"A3_2x2_A7"
"A3_3x3_A7",0.0257473308120912,"Jul22","A3","3x3","A7","Enriched",FALSE,"A3_3x3_A7"
"A3_Open_A4",0.0148485221793752,"Jul22","A3","Open","A4","Enriched",FALSE,"A3_Open_A4"
"A3_Open_A7",0.0184060943686819,"Jul22","A3","Open","A7","Enriched",FALSE,"A3_Open_A7"
"A4_1x1_A2",0.898037053187489,"Jul22","A4","1x1","A2","Ambient",FALSE,"A4_1x1_A2"
"D1_2x2_A1",0.0665012951993297,"Jul22","D1","2x2","A1","Ambient",FALSE,"D1_2x2_A1"
"C2_1x1_A1",0.0601139777278195,"Jul22","C2","1x1","A1","Ambient",FALSE,"C2_1x1_A1"
"B1_1x1_A7",0.0131649195287401,"Jul22","B1","1x1","A7","Enriched",FALSE,"B1_1x1_A7"
"C2_Open_A3",0.0448223172991195,"Jul22","C2","Open","A3","Ambient",FALSE,"C2_Open_A3"
"B1_1x1_A6",0.150148411970225,"Jul22","B1","1x1","A6","Enriched",FALSE,"B1_1x1_A6"
"B1_3x3_A7",0.0213425390515979,"Jul22","B1","3x3","A7","Enriched",FALSE,"B1_3x3_A7"
"A3_Open_A11",0.0189242236198195,"Jul22","A3","Open","A11","Enriched",FALSE,"A3_Open_A11"
"A4_3x3_A3",0.0576505666997858,"Jul22","A4","3x3","A3","Ambient",FALSE,"A4_3x3_A3"
"A4_1x1_A3",0.11775141966293,"Jul22","A4","1x1","A3","Ambient",FALSE,"A4_1x1_A3"
"B1_3x3_A11",0.0204777187745784,"Jul22","B1","3x3","A11","Enriched",FALSE,"B1_3x3_A11"
"B1_2x2_A6",0.0546162014453077,"Jul22","B1","2x2","A6","Enriched",FALSE,"B1_2x2_A6"
"D1_3x3_A1",0.0458272561961626,"Jul22","D1","3x3","A1","Ambient",FALSE,"D1_3x3_A1"
"B1_3x3_A18",0.0136455767464508,"Jul22","B1","3x3","A18","Enriched",FALSE,"B1_3x3_A18"
"B1_1x1_A8",0.0379560592589391,"Jul22","B1","1x1","A8","Enriched",FALSE,"B1_1x1_A8"
"D1_Open_A5",0.0445968350725454,"Jul22","D1","Open","A5","Ambient",FALSE,"D1_Open_A5"
