"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV2188","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV2188"
"ASV2702","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV2702"
"ASV6445","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV6445"
"ASV1287","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1287"
"ASV1599","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1599"
"ASV1657","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1657"
"ASV667","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV667"
"ASV2366","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV2366"
"ASV1381","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1381"
"ASV504","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV504"
"ASV850","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV850"
"ASV1196","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1196"
"ASV1653","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1653"
"ASV1114","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1114"
"ASV1511","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1511"
"ASV1834","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV1834"
"ASV302","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","NA","ASV302"
"ASV4428","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV4428"
"ASV3626","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV3626"
"ASV1908","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV1908"
"ASV4657","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV4657"
"ASV5054","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV5054"
"ASV1455","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV1455"
"ASV1430","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV1430"
"ASV1262","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV1262"
"ASV3125","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV3125"
"ASV1820","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV1820"
"ASV2286","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV2286"
"ASV4000","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV4000"
"ASV1714","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV1714"
"ASV2570","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV2570"
"ASV1595","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV1595"
"ASV2503","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV2503"
"ASV2470","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","NA","NA","ASV2470"
"ASV3063","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV3063"
"ASV696","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","NA","NA","NA","ASV696"
"ASV1363","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV1363"
"ASV2229","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV2229"
"ASV4086","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","P13-46","NA","NA","ASV4086"
"ASV4543","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV4543"
"ASV5791","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV5791"
"ASV1648","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV1648"
"ASV1115","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","NA","NA","ASV1115"
"ASV82","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","NA","NA","ASV82"
"ASV3947","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","NA","NA","ASV3947"
"ASV5997","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV5997"
"ASV7742","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV7742"
"ASV5813","Bacteria","Proteobacteria","Gammaproteobacteria","I3A","NA","NA","NA","ASV5813"
"ASV566","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV566"
"ASV5811","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV5811"
"ASV1652","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV1652"
"ASV4764","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV4764"
"ASV1132","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV1132"
"ASV1644","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","NA","NA","NA","ASV1644"
"ASV5959","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","NA","NA","NA","ASV5959"
"ASV3299","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","NA","NA","NA","ASV3299"
"ASV6742","Bacteria","Proteobacteria","Gammaproteobacteria","F9P41300-M23","NA","NA","NA","ASV6742"
"ASV1228","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV1228"
"ASV3740","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV3740"
"ASV4374","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV4374"
"ASV2523","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV2523"
"ASV1849","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV1849"
"ASV1341","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV1341"
"ASV6452","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV6452"
"ASV5470","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV5470"
"ASV5167","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV5167"
"ASV2992","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","NA","ASV2992"
"ASV7385","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV7385"
"ASV1244","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix","NA","ASV1244"
"ASV1112","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1112"
"ASV5420","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","NA","NA","NA","ASV5420"
"ASV5008","Bacteria","Proteobacteria","Gammaproteobacteria","NA","NA","NA","NA","ASV5008"
"ASV4722","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV4722"
"ASV1722","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV1722"
"ASV5922","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae","Endozoicomonas","NA","ASV5922"
"ASV4199","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","NA","NA","NA","ASV4199"
