,Axis.1,Axis.2,date,cage,herbivory,coral,treatment,is.neg,Samples
A3_1x1_A4,0.201950177,-0.025448653,22-Jul,A3,1x1,A4,Enriched,FALSE,A3_1x1_A4
A3_1x1_A5,0.205724358,-0.024234533,22-Jul,A3,1x1,A5,Enriched,FALSE,A3_1x1_A5
A3_1x1_A6,0.195360578,-0.022307045,22-Jul,A3,1x1,A6,Enriched,FALSE,A3_1x1_A6
A3_2x2_A1,0.031501135,0.116453436,22-Jul,A3,2x2,A1,Enriched,FALSE,A3_2x2_A1
A3_2x2_A2,0.022607815,0.139126331,22-Jul,A3,2x2,A2,Enriched,FALSE,A3_2x2_A2
A3_2x2_A3,0.200125246,-0.02349191,22-Jul,A3,2x2,A3,Enriched,FALSE,A3_2x2_A3
A3_2x2_A4,-0.664459524,0.146072681,22-Jul,A3,2x2,A4,Enriched,FALSE,A3_2x2_A4
A3_2x2_A6,0.177897395,-0.011327521,22-Jul,A3,2x2,A6,Enriched,FALSE,A3_2x2_A6
A3_2x2_A7,0.130067605,0.029233606,22-Jul,A3,2x2,A7,Enriched,FALSE,A3_2x2_A7
A3_2x2_A8,0.171998756,-0.003731311,22-Jul,A3,2x2,A8,Enriched,FALSE,A3_2x2_A8
A3_3x3_A1,-0.495125535,0.105215716,22-Jul,A3,3x3,A1,Enriched,FALSE,A3_3x3_A1
A3_3x3_A2,0.182615947,-0.013097886,22-Jul,A3,3x3,A2,Enriched,FALSE,A3_3x3_A2
A3_3x3_A4,0.166141411,-0.007960409,22-Jul,A3,3x3,A4,Enriched,FALSE,A3_3x3_A4
A3_3x3_A6,-0.350294143,0.23757156,22-Jul,A3,3x3,A6,Enriched,FALSE,A3_3x3_A6
A3_3x3_A7,0.163027712,-0.009650127,22-Jul,A3,3x3,A7,Enriched,FALSE,A3_3x3_A7
A3_Open_A1,0.200504388,-0.019660741,22-Jul,A3,Open,A1,Enriched,FALSE,A3_Open_A1
A3_Open_A11,0.178994502,-0.019987288,22-Jul,A3,Open,A11,Enriched,FALSE,A3_Open_A11
A3_Open_A14,0.184235381,-0.015614681,22-Jul,A3,Open,A14,Enriched,FALSE,A3_Open_A14
A3_Open_A3,0.204888456,-0.026364016,22-Jul,A3,Open,A3,Enriched,FALSE,A3_Open_A3
A3_Open_A4,0.187125887,-0.019144412,22-Jul,A3,Open,A4,Enriched,FALSE,A3_Open_A4
A3_Open_A5,-0.571516943,-0.183886522,22-Jul,A3,Open,A5,Enriched,FALSE,A3_Open_A5
A3_Open_A6,-0.12987093,0.116915223,22-Jul,A3,Open,A6,Enriched,FALSE,A3_Open_A6
A3_Open_A7,0.200010799,-0.026079263,22-Jul,A3,Open,A7,Enriched,FALSE,A3_Open_A7
A3_Open_A8,-0.173116088,0.218091825,22-Jul,A3,Open,A8,Enriched,FALSE,A3_Open_A8
A4_1x1_A10,-0.044018996,0.05041337,22-Jul,A4,1x1,A10,Ambient,FALSE,A4_1x1_A10
A4_1x1_A2,-0.592099764,0.112785933,22-Jul,A4,1x1,A2,Ambient,FALSE,A4_1x1_A2
A4_1x1_A3,0.035182442,0.0645019,22-Jul,A4,1x1,A3,Ambient,FALSE,A4_1x1_A3
A4_1x1_A4,0.152374028,0.013656213,22-Jul,A4,1x1,A4,Ambient,FALSE,A4_1x1_A4
A4_1x1_A5,-0.418383993,0.242992797,22-Jul,A4,1x1,A5,Ambient,FALSE,A4_1x1_A5
A4_1x1_A6,-0.438102763,0.251732858,22-Jul,A4,1x1,A6,Ambient,FALSE,A4_1x1_A6
A4_1x1_A9,0.140006626,0.017414751,22-Jul,A4,1x1,A9,Ambient,FALSE,A4_1x1_A9
A4_2x2_A1,0.012000676,0.115924786,22-Jul,A4,2x2,A1,Ambient,FALSE,A4_2x2_A1
A4_2x2_A4,0.149948219,0.006468334,22-Jul,A4,2x2,A4,Ambient,FALSE,A4_2x2_A4
A4_2x2_A6,-0.659887203,0.17794089,22-Jul,A4,2x2,A6,Ambient,FALSE,A4_2x2_A6
A4_2x2_A8,0.165156164,-0.004654136,22-Jul,A4,2x2,A8,Ambient,FALSE,A4_2x2_A8
A4_3x3_A10,0.119546391,0.026633144,22-Jul,A4,3x3,A10,Ambient,FALSE,A4_3x3_A10
A4_3x3_A3,0.197386526,-0.023712579,22-Jul,A4,3x3,A3,Ambient,FALSE,A4_3x3_A3
A4_3x3_A4,0.198369332,-0.024636428,22-Jul,A4,3x3,A4,Ambient,FALSE,A4_3x3_A4
A4_3x3_A7,-0.664150886,0.134022907,22-Jul,A4,3x3,A7,Ambient,FALSE,A4_3x3_A7
A4_3x3_A8,0.118269705,0.030911602,22-Jul,A4,3x3,A8,Ambient,FALSE,A4_3x3_A8
A4_Open_A2,-0.566640408,0.193573225,22-Jul,A4,Open,A2,Ambient,FALSE,A4_Open_A2
A4_Open_A5,0.199358564,-0.023003013,22-Jul,A4,Open,A5,Ambient,FALSE,A4_Open_A5
B1_1x1_A1,-0.573620229,0.030419889,22-Jul,B1,1x1,A1,Enriched,FALSE,B1_1x1_A1
B1_1x1_A2,-0.392302239,0.133520311,22-Jul,B1,1x1,A2,Enriched,FALSE,B1_1x1_A2
B1_1x1_A3,0.174881486,-0.012017248,22-Jul,B1,1x1,A3,Enriched,FALSE,B1_1x1_A3
B1_1x1_A6,0.061667526,0.078556042,22-Jul,B1,1x1,A6,Enriched,FALSE,B1_1x1_A6
B1_1x1_A7,0.190176476,-0.021641391,22-Jul,B1,1x1,A7,Enriched,FALSE,B1_1x1_A7
B1_1x1_A8,0.148217637,0.013409239,22-Jul,B1,1x1,A8,Enriched,FALSE,B1_1x1_A8
B1_2x2_A4,-0.66480932,0.173394488,22-Jul,B1,2x2,A4,Enriched,FALSE,B1_2x2_A4
B1_2x2_A5,0.179714774,-0.020335552,22-Jul,B1,2x2,A5,Enriched,FALSE,B1_2x2_A5
B1_2x2_A6,0.131077934,0.009658246,22-Jul,B1,2x2,A6,Enriched,FALSE,B1_2x2_A6
B1_2x2_A7,0.004811023,0.013027584,22-Jul,B1,2x2,A7,Enriched,FALSE,B1_2x2_A7
B1_2x2_A8,-0.520473007,-0.252747048,22-Jul,B1,2x2,A8,Enriched,FALSE,B1_2x2_A8
B1_3x3_A1,0.167220469,-0.007588264,22-Jul,B1,3x3,A1,Enriched,FALSE,B1_3x3_A1
B1_3x3_A11,0.20607656,-0.027540289,22-Jul,B1,3x3,A11,Enriched,FALSE,B1_3x3_A11
B1_3x3_A13,0.209096367,-0.026547102,22-Jul,B1,3x3,A13,Enriched,FALSE,B1_3x3_A13
B1_3x3_A18,0.196572911,-0.023202013,22-Jul,B1,3x3,A18,Enriched,FALSE,B1_3x3_A18
B1_3x3_A3_questionmark,-0.27997487,-0.260752526,22-Jul,B1,3x3,A3,Enriched,FALSE,B1_3x3_A3_questionmark
B1_3x3_A5,0.175069982,-0.011821551,22-Jul,B1,3x3,A5,Enriched,FALSE,B1_3x3_A5
B1_3x3_A6,0.079540391,0.062289501,22-Jul,B1,3x3,A6,Enriched,FALSE,B1_3x3_A6
B1_3x3_A7,0.175169356,-0.020151873,22-Jul,B1,3x3,A7,Enriched,FALSE,B1_3x3_A7
B1_3x3_A8,0.168523263,-0.008389904,22-Jul,B1,3x3,A8,Enriched,FALSE,B1_3x3_A8
B1_3x3_A9,0.199616125,-0.025423227,22-Jul,B1,3x3,A9,Enriched,FALSE,B1_3x3_A9
B1_Open_A2,0.19959981,-0.025804343,22-Jul,B1,Open,A2,Enriched,FALSE,B1_Open_A2
B1_Open_A3,0.152393488,0.013681147,22-Jul,B1,Open,A3,Enriched,FALSE,B1_Open_A3
B1_Open_A5,0.145148096,-0.00385426,22-Jul,B1,Open,A5,Enriched,FALSE,B1_Open_A5
B1_Open_A6,0.158176158,-0.00976966,22-Jul,B1,Open,A6,Enriched,FALSE,B1_Open_A6
B2_1x1_A13,0.138460419,0.024392362,22-Jul,B2,1x1,A13,Ambient,FALSE,B2_1x1_A13
B2_1x1_A14,0.001939277,0.114121267,22-Jul,B2,1x1,A14,Ambient,FALSE,B2_1x1_A14
B2_1x1_A15,-0.478266064,0.079329513,22-Jul,B2,1x1,A15,Ambient,FALSE,B2_1x1_A15
B2_1x1_A16,-0.329767598,0.156085909,22-Jul,B2,1x1,A16,Ambient,FALSE,B2_1x1_A16
B2_1x1_A2,0.186871107,-0.018064885,22-Jul,B2,1x1,A2,Ambient,FALSE,B2_1x1_A2
B2_1x1_A3,-0.53334038,-0.243436197,22-Jul,B2,1x1,A3,Ambient,FALSE,B2_1x1_A3
B2_1x1_A4,0.008134466,0.091590824,22-Jul,B2,1x1,A4,Ambient,FALSE,B2_1x1_A4
B2_1x1_A6,0.181767191,-0.014586922,22-Jul,B2,1x1,A6,Ambient,FALSE,B2_1x1_A6
B2_1x1_A7,-0.462515485,-0.366412963,22-Jul,B2,1x1,A7,Ambient,FALSE,B2_1x1_A7
