"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV1262","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae",NA,NA,NA
"ASV696","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","AT-s2-59 Order",NA,NA,NA
"ASV82","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,NA,NA
"ASV6742","Bacteria","Proteobacteria","Gammaproteobacteria","F9P41300-M23","F9P41300-M23 Order",NA,NA,NA
"ASV1849","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae",NA,NA,NA
"ASV1244","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA,NA
"ASV1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Endozoicomonadaceae",NA,NA,NA
"ASV4174","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA
"ASV235","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae",NA,NA,NA
"ASV398","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae",NA,NA,NA
"ASV1830","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Microbulbiferaceae",NA,NA,NA
"ASV885","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA,NA
"ASV283","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","KI89A clade",NA,NA,NA
"ASV2658","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae",NA,NA,NA
"ASV3928","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1",NA,NA,NA
"ASV277","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadales Order",NA,NA,NA
